mpa_iab_id,mpa_iab_code,mpa_iab_tier,mpa_iab_parent_code,mpa_iab_name,mpa_iab_description,mpa_vertical_relevance,mpa_contextual_signal_strength
IAB-186-192-196,196,3,192,Parenting Babies and Toddlers,Infant parenting,"CPG,RETAIL",HIGH
IAB-186-192-197,197,3,192,Parenting Children Aged 4-11,Young child parenting,"CPG,RETAIL",HIGH
IAB-186-192-198,198,3,192,Parenting Teens,Teenage parenting,"CPG,RETAIL,EDUCATION",HIGH
IAB-210-211,211,2,210,Alcoholic Beverages,Alcohol-related content,"CPG,RESTAURANT",MEDIUM
IAB-210-216,216,2,210,Cooking,Cooking and recipes,"CPG,RETAIL",HIGH
IAB-210-217,217,2,210,Desserts and Baking,Baking content,"CPG,RETAIL",HIGH
IAB-210-218,218,2,210,Dining Out,Restaurant and dining,RESTAURANT,HIGH
IAB-210-221,221,2,210,Healthy Cooking and Eating,Healthy food content,"CPG,HEALTHCARE",HIGH
IAB-210-222,222,2,210,Non-Alcoholic Beverages,Beverages content,CPG,HIGH
IAB-210-214,214,2,210,World Cuisines,International food content,"CPG,RESTAURANT",MEDIUM
IAB-223-225,225,2,223,Fitness and Exercise,Exercise and workout content,"FITNESS,HEALTHCARE",HIGH
IAB-223-225-227,227,3,225,Running and Jogging,Running content,"FITNESS,RETAIL",HIGH
IAB-223-229,229,2,223,Nutrition,Nutritional information,"HEALTHCARE,CPG",HIGH
IAB-223-231,231,2,223,Weight Loss,Weight management content,"HEALTHCARE,CPG",HIGH
IAB-223-232,232,2,223,Wellness,General wellness topics,"HEALTHCARE,CPG",HIGH
IAB-223-238,238,2,223,Women's Health,Women's health topics,"HEALTHCARE,CPG",HIGH
IAB-223-228,228,2,223,Men's Health,Men's health topics,"HEALTHCARE,CPG",HIGH
IAB-274-275,275,2,274,Gardening,Gardening content,"HOME_IMPROVEMENT,RETAIL",HIGH
IAB-274-280,280,2,274,Home Improvement,DIY and renovation,"HOME_IMPROVEMENT,RETAIL",HIGH
IAB-274-283,283,2,274,Interior Decorating,Home decor content,"RETAIL,HOME_IMPROVEMENT",HIGH
IAB-274-277,277,2,274,Smart Home,Home automation,"TECHNOLOGY,HOME_IMPROVEMENT",HIGH
IAB-286-287,287,2,286,Diseases and Conditions,Medical conditions,"HEALTHCARE,PHARMACEUTICAL",HIGH
IAB-286-287-301,301,3,287,Mental Health,Mental health topics,HEALTHCARE,HIGH
IAB-286-287-314,314,3,287,Cancer,Cancer-related content,"HEALTHCARE,PHARMACEUTICAL",HIGH
IAB-286-287-317,317,3,287,Diabetes,Diabetes content,"HEALTHCARE,PHARMACEUTICAL",HIGH
IAB-286-287-296,296,3,287,Heart and Cardiovascular Diseases,Heart health,"HEALTHCARE,PHARMACEUTICAL",HIGH
IAB-286-320,320,2,286,Pharmaceutical Drugs,Medication content,"PHARMACEUTICAL,HEALTHCARE",HIGH
IAB-286-322,322,2,286,Vaccines,Vaccination content,"HEALTHCARE,PHARMACEUTICAL",HIGH
IAB-391-392,392,2,391,Consumer Banking,Banking services,FINANCIAL_SERVICES,HIGH
IAB-391-396,396,2,391,Financial Planning,Financial advisory,FINANCIAL_SERVICES,HIGH
IAB-391-398,398,2,391,Insurance,Insurance topics,FINANCIAL_SERVICES,HIGH
IAB-391-398-399,399,3,398,Health Insurance,Health coverage,"FINANCIAL_SERVICES,HEALTHCARE",HIGH
IAB-391-398-400,400,3,398,Home Insurance,Property insurance,"FINANCIAL_SERVICES,REAL_ESTATE",HIGH
IAB-391-398-402,402,3,398,Motor Insurance,Auto insurance,"FINANCIAL_SERVICES,AUTOMOTIVE",HIGH
IAB-391-405,405,2,391,Personal Debt,Debt and credit,FINANCIAL_SERVICES,HIGH
IAB-391-405-406,406,3,405,Credit Cards,Credit card content,FINANCIAL_SERVICES,HIGH
IAB-391-405-407,407,3,405,Home Financing,Mortgage content,"FINANCIAL_SERVICES,REAL_ESTATE",HIGH
IAB-391-410,410,2,391,Personal Investing,Investment topics,FINANCIAL_SERVICES,HIGH
IAB-391-410-414,414,3,410,Stocks and Bonds,Securities investing,FINANCIAL_SERVICES,HIGH
IAB-391-416,416,2,391,Retirement Planning,Retirement content,FINANCIAL_SERVICES,HIGH
IAB-422-424,424,2,422,Cats,Cat-related content,"RETAIL,CPG",HIGH
IAB-422-425,425,2,422,Dogs,Dog-related content,"RETAIL,CPG",HIGH
IAB-422-431,431,2,422,Pet Supplies,Pet product content,"RETAIL,CPG",HIGH
IAB-441-442,442,2,441,Apartments,Apartment content,REAL_ESTATE,HIGH
IAB-441-447,447,2,441,Houses,House content,REAL_ESTATE,HIGH
IAB-441-451,451,2,441,Real Estate Buying and Selling,Property transactions,"REAL_ESTATE,FINANCIAL_SERVICES",HIGH
IAB-441-452,452,2,441,Real Estate Renting and Leasing,Rental content,REAL_ESTATE,HIGH
IAB-473-474,474,2,473,Coupons and Discounts,Deal content,RETAIL,HIGH
IAB-473-477,477,2,473,Grocery Shopping,Grocery content,"RETAIL,CPG",HIGH
IAB-473-478,478,2,473,Holiday Shopping,Seasonal shopping,RETAIL,HIGH
IAB-473-481,481,2,473,Sales and Promotions,Sales events,RETAIL,HIGH
IAB-483-484,484,2,483,American Football,NFL and football,"SPORTS,ENTERTAINMENT",HIGH
IAB-483-487,487,2,483,College Sports,College athletics,"SPORTS,EDUCATION",HIGH
IAB-483-487-488,488,3,487,College Football,College football,SPORTS,HIGH
IAB-483-487-489,489,3,487,College Basketball,College basketball,SPORTS,HIGH
IAB-483-512,512,2,483,Golf,Golf content,"SPORTS,LUXURY",HIGH
IAB-483-515,515,2,483,Ice Hockey,Hockey content,SPORTS,HIGH
IAB-483-533,533,2,483,Soccer,Soccer/football content,SPORTS,HIGH
IAB-483-539,539,2,483,Tennis,Tennis content,SPORTS,MEDIUM
IAB-483-545,545,2,483,Baseball,Baseball content,SPORTS,HIGH
IAB-483-547,547,2,483,Basketball,NBA and basketball,SPORTS,HIGH
IAB-483-498,498,2,483,Extreme Sports,Action sports,SPORTS,MEDIUM
IAB-483-508,508,2,483,Fantasy Sports,Fantasy leagues,"SPORTS,ENTERTAINMENT",HIGH
IAB-552-553,553,2,552,Beauty,Beauty content,"RETAIL,CPG",HIGH
IAB-552-553-554,554,3,553,Hair Care,Hair care content,"CPG,RETAIL",HIGH
IAB-552-553-555,555,3,553,Makeup and Accessories,Makeup content,"RETAIL,CPG",HIGH
IAB-552-553-559,559,3,553,Skin Care,Skin care content,"CPG,RETAIL",HIGH
IAB-552-560,560,2,552,Women's Fashion,Women's clothing,"RETAIL,LUXURY",HIGH
IAB-552-579,579,2,552,Men's Fashion,Men's clothing,RETAIL,HIGH
IAB-552-577,577,2,552,Fashion Trends,Style trends,"RETAIL,LUXURY",HIGH
IAB-552-590,590,2,552,Personal Care,Personal care topics,CPG,HIGH
IAB-596-597,597,2,596,Artificial Intelligence,AI content,"TECHNOLOGY,B2B",HIGH
IAB-596-599,599,2,596,Computing,Computer topics,TECHNOLOGY,HIGH
IAB-596-599-619,619,3,599,Internet,Internet topics,TECHNOLOGY,HIGH
IAB-596-599-619-628,628,4,619,Social Networking,Social media,"TECHNOLOGY,ENTERTAINMENT",HIGH
IAB-596-632,632,2,596,Consumer Electronics,Electronics,"TECHNOLOGY,RETAIL",HIGH
IAB-596-632-635,635,3,632,Smartphones,Mobile phones,"TECHNOLOGY,RETAIL",HIGH
IAB-596-632-637,637,3,632,Wearable Technology,Wearables,"TECHNOLOGY,RETAIL",HIGH
IAB-596-638,638,2,596,Robotics,Robotics content,"TECHNOLOGY,B2B",MEDIUM
IAB-596-639,639,2,596,Virtual Reality,VR content,"TECHNOLOGY,ENTERTAINMENT",MEDIUM
IAB-653-655,655,2,653,Travel Locations,Destination content,TRAVEL,HIGH
IAB-653-655-660,660,3,655,North America Travel,NA destinations,TRAVEL,HIGH
IAB-653-655-659,659,3,655,Europe Travel,European destinations,TRAVEL,HIGH
IAB-653-655-657,657,3,655,Asia Travel,Asian destinations,TRAVEL,HIGH
IAB-653-664,664,2,653,Travel Type,Trip types,TRAVEL,HIGH
IAB-653-664-665,665,3,664,Adventure Travel,Adventure trips,TRAVEL,HIGH
IAB-653-664-672,672,3,664,Air Travel,Flight travel,TRAVEL,HIGH
IAB-653-664-676,676,3,664,Business Travel,Business trips,"TRAVEL,B2B",HIGH
IAB-653-664-666,666,3,664,Family Travel,Family vacations,TRAVEL,HIGH
IAB-653-664-668,668,3,664,Hotels and Motels,Accommodations,TRAVEL,HIGH
IAB-653-664-678,678,3,664,Cruises,Cruise travel,"TRAVEL,LUXURY",HIGH
IAB-680-681,681,2,680,Console Games,Console gaming,"ENTERTAINMENT,TECHNOLOGY",HIGH
IAB-680-682,682,2,680,eSports,Competitive gaming,"ENTERTAINMENT,SPORTS",HIGH
IAB-680-683,683,2,680,Mobile Games,Mobile gaming,"ENTERTAINMENT,TECHNOLOGY",HIGH
IAB-680-684,684,2,680,PC Games,Computer gaming,"ENTERTAINMENT,TECHNOLOGY",HIGH
IAB-680-685,685,2,680,Video Game Genres,Game types,ENTERTAINMENT,HIGH
IAB-680-685-686,686,3,685,Action Video Games,Action games,ENTERTAINMENT,HIGH
IAB-680-685-687,687,3,685,Role-Playing Video Games,RPG games,ENTERTAINMENT,HIGH
IAB-680-685-689,689,3,685,Sports Video Games,Sports games,"ENTERTAINMENT,SPORTS",HIGH
IAB-324-325,325,2,324,Action/Adventure Movies,Action films,ENTERTAINMENT,HIGH
IAB-324-326,326,2,324,Romance Movies,Romance films,ENTERTAINMENT,HIGH
IAB-324-331,331,2,324,Mystery Movies,Mystery films,ENTERTAINMENT,MEDIUM
IAB-324-332,332,2,324,Documentary,Documentary films,"ENTERTAINMENT,EDUCATION",MEDIUM
IAB-324-335,335,2,324,Fantasy Movies,Fantasy films,ENTERTAINMENT,HIGH
IAB-324-336,336,2,324,Horror Movies,Horror films,ENTERTAINMENT,MEDIUM
IAB-640-641,641,2,640,Animation & Anime,Animated content,ENTERTAINMENT,HIGH
IAB-640-646,646,2,640,Comedy TV,Comedy shows,ENTERTAINMENT,HIGH
IAB-640-647,647,2,640,Drama TV,Drama shows,ENTERTAINMENT,HIGH
IAB-640-651,651,2,640,Reality TV,Reality shows,ENTERTAINMENT,HIGH
IAB-338-343,343,2,338,Alternative Music,Alternative genre,ENTERTAINMENT,MEDIUM
IAB-338-346,346,2,338,Classical Music,Classical genre,"ENTERTAINMENT,LUXURY",LOW
IAB-338-349,349,2,338,Contemporary Hits/Pop/Top 40,Pop music,ENTERTAINMENT,HIGH
IAB-338-350,350,2,338,Country Music,Country genre,ENTERTAINMENT,HIGH
IAB-338-351,351,2,338,Dance and Electronic Music,EDM,ENTERTAINMENT,HIGH
IAB-338-355,355,2,338,Hip Hop Music,Hip hop genre,ENTERTAINMENT,HIGH
IAB-338-357,357,2,338,Jazz,Jazz music,ENTERTAINMENT,LOW
IAB-338-362,362,2,338,R&B/Soul/Funk,R&B genre,ENTERTAINMENT,HIGH
IAB-338-363,363,2,338,Rock Music,Rock genre,ENTERTAINMENT,HIGH
IAB-239-248,248,2,239,Arts and Crafts,Crafting content,RETAIL,MEDIUM
IAB-239-248-255,255,3,248,Photography,Photography hobby,"RETAIL,TECHNOLOGY",HIGH
IAB-239-261,261,2,239,Collecting,Collecting hobbies,RETAIL,MEDIUM
IAB-239-269,269,2,239,Games and Puzzles,Board games,"RETAIL,ENTERTAINMENT",MEDIUM
IAB-239-243,243,2,239,Musical Instruments,Instruments,"RETAIL,ENTERTAINMENT",MEDIUM
IAB-123-125,125,2,123,Career Advice,Career guidance,"B2B,EDUCATION",HIGH
IAB-123-127,127,2,123,Job Search,Job hunting,B2B,HIGH
IAB-123-130,130,2,123,Remote Working,Remote work content,"B2B,TECHNOLOGY",HIGH
IAB-SENS-1,SENS-1,1,,Sensitive Topics,Content requiring extra brand safety consideration,,LOW
IAB-SENS-1-ADT,SENS-ADT,2,SENS-1,Adult & Explicit Sexual Content,Adult content,,LOW
IAB-SENS-1-ARM,SENS-ARM,2,SENS-1,Arms & Ammunition,Weapons content,,LOW
IAB-SENS-1-CRM,SENS-CRM,2,SENS-1,Crime & Harmful Acts,Criminal content,,LOW
IAB-SENS-1-DTH,SENS-DTH,2,SENS-1,"Death, Injury, or Military Conflict",Sensitive news,,LOW
IAB-SENS-1-HTE,SENS-HTE,2,SENS-1,Hate Speech and Acts of Aggression,Hate content,,LOW
IAB-SENS-1-DRG,SENS-DRG,2,SENS-1,"Illegal Drugs, Tobacco, Vaping, Alcohol",Substance content,,LOW
IAB-SENS-1-OBS,SENS-OBS,2,SENS-1,Obscenity and Profanity,Profane content,,LOW
IAB-SENS-1-TER,SENS-TER,2,SENS-1,Terrorism,Terrorism content,,LOW
