mpa_context_id,mpa_context_category,mpa_context_name,mpa_context_description,mpa_iab_mapping,mpa_signal_type,mpa_brand_safety_tier,mpa_vertical_relevance
CTX-PAGE-084,PAGE_CONTEXT,How-To Guide,Tutorial and guide content,,PAGE_CONTEXT,TIER_1_SAFE,ALL
CTX-SENT-085,SENTIMENT,Positive Sentiment,Uplifting and positive content,,SENTIMENT,TIER_1_SAFE,ALL
CTX-SENT-086,SENTIMENT,Neutral Sentiment,Factual and objective content,,SENTIMENT,TIER_1_SAFE,ALL
CTX-SENT-087,SENTIMENT,Negative Sentiment,Critical or pessimistic content,,SENTIMENT,TIER_3_CAUTION,ALL
CTX-SENT-088,SENTIMENT,Controversial Content,Debatable or divisive topics,,SENTIMENT,TIER_3_CAUTION,ALL
CTX-SENT-089,SENTIMENT,Celebratory Content,Content about achievements and wins,,SENTIMENT,TIER_1_SAFE,ALL
CTX-SENT-090,SENTIMENT,Inspirational Content,Motivational and inspiring,,SENTIMENT,TIER_1_SAFE,ALL
CTX-SENT-091,SENTIMENT,Educational Tone,Informative and teaching content,,SENTIMENT,TIER_1_SAFE,"EDUCATION,B2B"
CTX-SENT-092,SENTIMENT,Opinion/Editorial,Subjective opinion content,,SENTIMENT,TIER_2_MODERATE,NEWS
CTX-SAFETY-093,BRAND_SAFETY,Adult Content,Sexually explicit or suggestive content,,BRAND_SAFETY,TIER_4_AVOID,ALL
CTX-SAFETY-094,BRAND_SAFETY,Violence & Gore,Graphic violence content,,BRAND_SAFETY,TIER_4_AVOID,ALL
CTX-SAFETY-095,BRAND_SAFETY,Hate Speech,Discriminatory or hateful content,,BRAND_SAFETY,TIER_4_AVOID,ALL
CTX-SAFETY-096,BRAND_SAFETY,Illegal Activities,Content promoting illegal acts,,BRAND_SAFETY,TIER_4_AVOID,ALL
CTX-SAFETY-097,BRAND_SAFETY,Drug Content,Drug use or promotion content,,BRAND_SAFETY,TIER_4_AVOID,ALL
CTX-SAFETY-098,BRAND_SAFETY,Alcohol Content,Alcohol-related content,,BRAND_SAFETY,TIER_3_CAUTION,CPG
CTX-SAFETY-099,BRAND_SAFETY,Gambling Content,Betting and gambling content,,BRAND_SAFETY,TIER_3_CAUTION,ENTERTAINMENT
CTX-SAFETY-100,BRAND_SAFETY,Tobacco Content,Tobacco and vaping content,,BRAND_SAFETY,TIER_4_AVOID,ALL
CTX-SAFETY-101,BRAND_SAFETY,Weapons Content,Firearms and weapons content,,BRAND_SAFETY,TIER_3_CAUTION,ALL
CTX-SAFETY-102,BRAND_SAFETY,Profanity,Strong language content,,BRAND_SAFETY,TIER_3_CAUTION,ALL
CTX-SAFETY-103,BRAND_SAFETY,Piracy/Copyright,Copyright infringing content,,BRAND_SAFETY,TIER_4_AVOID,ALL
CTX-SAFETY-104,BRAND_SAFETY,Misinformation,False or misleading content,,BRAND_SAFETY,TIER_4_AVOID,ALL
CTX-SAFETY-105,BRAND_SAFETY,Spam/Low Quality,Low-quality or spam content,,BRAND_SAFETY,TIER_4_AVOID,ALL
CTX-SAFETY-106,BRAND_SAFETY,Made for Advertising,MFA/low-quality ad sites,,BRAND_SAFETY,TIER_4_AVOID,ALL
CTX-SAFETY-107,BRAND_SAFETY,Sensitive News,Tragic events or disasters,,BRAND_SAFETY,TIER_3_CAUTION,NEWS
CTX-SAFETY-108,BRAND_SAFETY,Political Extremism,Extreme political content,,BRAND_SAFETY,TIER_4_AVOID,ALL
CTX-FORMAT-109,FORMAT,Long-Form Article,Articles 1000+ words,,CONTENT_FORMAT,TIER_1_SAFE,ALL
CTX-FORMAT-110,FORMAT,Short-Form Content,Quick-read content under 500 words,,CONTENT_FORMAT,TIER_1_SAFE,ALL
CTX-FORMAT-111,FORMAT,Video Content,Video-based content,,CONTENT_FORMAT,TIER_1_SAFE,ENTERTAINMENT
CTX-FORMAT-112,FORMAT,Podcast/Audio,Audio content format,,CONTENT_FORMAT,TIER_1_SAFE,"ENTERTAINMENT,EDUCATION"
CTX-FORMAT-113,FORMAT,Image Gallery,Photo-heavy content,,CONTENT_FORMAT,TIER_1_SAFE,"ENTERTAINMENT,RETAIL"
CTX-FORMAT-114,FORMAT,Interactive Content,"Quizzes, calculators, tools",,CONTENT_FORMAT,TIER_1_SAFE,ALL
CTX-FORMAT-115,FORMAT,Live Content,Real-time streaming content,,CONTENT_FORMAT,TIER_2_MODERATE,"ENTERTAINMENT,SPORTS"
CTX-FORMAT-116,FORMAT,User Comments,Comment sections present,,CONTENT_FORMAT,TIER_2_MODERATE,ALL
CTX-FORMAT-117,FORMAT,Infographic,Visual data representation,,CONTENT_FORMAT,TIER_1_SAFE,"B2B,EDUCATION"
CTX-FORMAT-118,FORMAT,Slideshow,Multi-slide content format,,CONTENT_FORMAT,TIER_1_SAFE,ALL
CTX-KEYWORD-119,KEYWORD,Seasonal - Holiday,Holiday and seasonal content,,KEYWORD_TOPIC,TIER_1_SAFE,"RETAIL,CPG"
CTX-KEYWORD-120,KEYWORD,Seasonal - Back to School,Back to school content,,KEYWORD_TOPIC,TIER_1_SAFE,"RETAIL,EDUCATION"
CTX-KEYWORD-121,KEYWORD,Seasonal - Summer,Summer activity content,,KEYWORD_TOPIC,TIER_1_SAFE,"TRAVEL,RETAIL"
CTX-KEYWORD-122,KEYWORD,Seasonal - Winter,Winter and cold weather content,,KEYWORD_TOPIC,TIER_1_SAFE,"RETAIL,TRAVEL"
CTX-KEYWORD-123,KEYWORD,Trending Topics,Currently viral content,,KEYWORD_TOPIC,TIER_2_MODERATE,ALL
CTX-KEYWORD-124,KEYWORD,Evergreen Content,Timeless reference content,,KEYWORD_TOPIC,TIER_1_SAFE,ALL
CTX-KEYWORD-125,KEYWORD,How-To Keywords,Tutorial and instructional,,KEYWORD_TOPIC,TIER_1_SAFE,ALL
CTX-KEYWORD-126,KEYWORD,Best Of Lists,Ranking and recommendation lists,,KEYWORD_TOPIC,TIER_1_SAFE,ALL
CTX-KEYWORD-127,KEYWORD,Comparison Content,Product/service comparisons,,KEYWORD_TOPIC,TIER_1_SAFE,"RETAIL,TECHNOLOGY"
CTX-KEYWORD-128,KEYWORD,Breaking/Live,Real-time news content,,KEYWORD_TOPIC,TIER_3_CAUTION,NEWS
CTX-VIEW-129,VIEWABILITY,Above the Fold,Content visible without scrolling,,VIEWABILITY,TIER_1_SAFE,ALL
CTX-VIEW-130,VIEWABILITY,Below the Fold,Content requires scrolling,,VIEWABILITY,TIER_1_SAFE,ALL
CTX-VIEW-131,VIEWABILITY,High Viewability,80%+ viewability rate,,VIEWABILITY,TIER_1_SAFE,ALL
CTX-VIEW-132,VIEWABILITY,Medium Viewability,50-80% viewability rate,,VIEWABILITY,TIER_1_SAFE,ALL
CTX-VIEW-133,VIEWABILITY,Premium Publisher,Tier 1 premium content,,VIEWABILITY,TIER_1_SAFE,ALL
CTX-VIEW-134,VIEWABILITY,Mid-Tier Publisher,Quality mid-market content,,VIEWABILITY,TIER_1_SAFE,ALL
CTX-VIEW-135,VIEWABILITY,Long Tail Publisher,Smaller niche publishers,,VIEWABILITY,TIER_2_MODERATE,ALL
CTX-VIEW-136,VIEWABILITY,Mobile Optimized,Mobile-friendly content,,VIEWABILITY,TIER_1_SAFE,ALL
CTX-VIEW-137,VIEWABILITY,Desktop Optimized,Desktop viewing experience,,VIEWABILITY,TIER_1_SAFE,ALL
CTX-VIEW-138,VIEWABILITY,App Environment,In-app content,,VIEWABILITY,TIER_1_SAFE,ALL
